probe_id,gene_symbol,gene_name,entrez_id,ensembl_id
ILMN_1768975,GLIPR1L1,"Homo sapiens GLI pathogenesis-related 1 like 1 (GLIPR1L1), mRNA.",,
ILMN_1777720,LOC730303,"PREDICTED: Homo sapiens similar to testis specific gene A2 (LOC730303), mRNA.",,
ILMN_1785109,LOC730303,"PREDICTED: Homo sapiens similar to testis specific gene A2 (LOC730303), mRNA.",,
ILMN_1715051,GGTL3,"Homo sapiens gamma-glutamyltransferase-like 3 (GGTL3), transcript variant 3, mRNA.",,
ILMN_1712799,BCORL2,Homo sapiens BCL6 co-repressor-like 2 (BCORL2) on chromosome Y.,,
ILMN_1711269,ASB5,"Homo sapiens ankyrin repeat and SOCS box-containing 5 (ASB5), mRNA.",,
ILMN_1670490,PDPN,"Homo sapiens podoplanin (PDPN), transcript variant 3, mRNA.",,
ILMN_1764158,NLGN2,"Homo sapiens neuroligin 2 (NLGN2), mRNA.",,
ILMN_1735172,LOC151121,"PREDICTED: Homo sapiens hypothetical protein LOC151121 (LOC151121), misc RNA.",,
ILMN_1811592,ARHGAP21,"Homo sapiens Rho GTPase activating protein 21 (ARHGAP21), mRNA.",,
ILMN_1688034,COIL,"Homo sapiens coilin (COIL), mRNA.",,
ILMN_1706957,LOC283155,"PREDICTED: Homo sapiens hypothetical LOC283155 (LOC283155), mRNA.",,
ILMN_1666208,C14ORF106,"Homo sapiens chromosome 14 open reading frame 106 (C14orf106), mRNA.",,
ILMN_1752213,TMEM60,"Homo sapiens transmembrane protein 60 (TMEM60), mRNA.",,
ILMN_1734021,CLSTN3,"Homo sapiens calsyntenin 3 (CLSTN3), mRNA.",,
ILMN_1690566,RASSF4,"Homo sapiens Ras association (RalGDS/AF-6) domain family 4 (RASSF4), mRNA.",,
ILMN_1708890,RASSF4,"Homo sapiens Ras association (RalGDS/AF-6) domain family 4 (RASSF4), mRNA.",,
ILMN_1660816,P2RX2,"Homo sapiens purinergic receptor P2X, ligand-gated ion channel, 2 (P2RX2), transcript variant 4, mRNA.",,
ILMN_1738589,MGLL,"Homo sapiens monoglyceride lipase (MGLL), transcript variant 1, mRNA.",,
ILMN_1815168,HVCN1,"Homo sapiens hydrogen voltage-gated channel 1 (HVCN1), transcript variant 1, mRNA.",,
ILMN_1728301,GAD2,"Homo sapiens glutamate decarboxylase 2 (pancreatic islets and brain, 65kDa) (GAD2), mRNA.",,
ILMN_1694479,WDR18,"Homo sapiens WD repeat domain 18 (WDR18), mRNA.",,
ILMN_1786823,ICAM2,"Homo sapiens intercellular adhesion molecule 2 (ICAM2), mRNA.",,
ILMN_1731397,STMN4,"Homo sapiens stathmin-like 4 (STMN4), mRNA.",,
ILMN_1744887,RLN2,"Homo sapiens relaxin 2 (RLN2), transcript variant 1, mRNA.",,
ILMN_1812474,TFG,"Homo sapiens TRK-fused gene (TFG), transcript variant 2, mRNA.",,
